# program	conda_environment	program_version_in_conda_env
ariba	ARIBA_env	2.14.5
bedtools	main_env	2.27.1
bwa	main_env	0.7.17
canu	ont_env	1.9
centrifuge	main_env	1.0.4_beta
centrifuge-kreport	main_env	1.0.4_beta
cutadapt	main_env	1.18
fastq_pair	main_env	1.0
fastqc	main_env	0.11.8
fastqfilter.py	main_env	current-version-in-scripts
filtlong	ont_env	0.2.0
fqtools	main_env	2.0
modify_assembly.py	GAEMR_env	-
GAEMR_ont.py	GAEMR_env	-
GAEMR.py	GAEMR_env	-
make_standard_assembly_files.py	GAEMR_env	-
kmerseq	StrainGE_env	-
kneaddata	hut_env	0.7.2
metaphlan2.py	hut_env	2.7.7
minimap2	ont_env	2.12
MinIONQC.R	ont_env	1.4.2
mlst	main_env	2.15.1
multiqc	MultiQC_env	-
NanoPlot	ont_env	1.18.2
nanopolish	ont_env	0.10.2
nanopolish_makerange.py	ont_env	0.10.2
parallel	ont_env	-
picard	main_env	2.18.17
pilon	main_env	1.23
porechop	ont_env	0.2.3
run_contamination_screen.py	GAEMR_env	-
samtools	main_env	1.9
seqtk sample	main_env	1.3
shortbred_quantify.py	hut_env	0.9.3
sortmerna	main_env	4.2
spades.py	main_env	3.13.0
straingst kmerize	StrainGE_env	-
straingst run	StrainGE_env	-
trim_galore	main_env	0.6.5
trimmomatic	main_env	0.38
unicycler	main_env	0.4.6
